"COG-ID","date"
"PHEC-33AEB5",2021.5424657534247
"PHEC-33B0BE",2021.545205479452
"PHEC-33B84D",2021.545205479452
"PHEC-33B9A4",2021.5561643835617
"PHEC-33BAED",2021.5561643835617
"PHEC-33CA37",2021.5506849315068
"PHEC-33CADD",2021.5479452054794
"PHEC-33CB16",2021.5506849315068
"PHEC-33CB70",2021.5479452054794
"PHEC-33CCC8",2021.5479452054794
"PHEC-33CDA7",2021.5506849315068
"PHEC-33CDC5",2021.5506849315068
"PHEC-33CFCF",2021.5506849315068
"PHEC-33D0DA",2021.5534246575342
"PHEC-33D16E",2021.5506849315068
"PHEC-3409BB",2021.558904109589
"PHEC-340AA9",2021.5561643835617
"PHEC-340D28",2021.5506849315068
"PHEC-34103D",2021.5616438356165
"PHEC-34105B",2021.5616438356165
"PHEC-341097",2021.5698630136985
"PHEC-341158",2021.5616438356165
"PHEC-3412CE",2021.5671232876712
"PHEC-3413DA",2021.5698630136985
"PHEC-341677",2021.5643835616438
"PHEC-341783",2021.558904109589
"PHEC-341817",2021.5643835616438
"PHEC-3418AE",2021.558904109589
"PHEC-34198D",2021.5616438356165
"PHEC-342B3B",2021.5753424657535
"PHEC-342BE0",2021.5753424657535
"PHEC-342CDE",2021.5753424657535
"PHEC-342D26",2021.5753424657535
"PHEC-342E32",2021.5643835616438
"PHEC-342EAB",2021.5753424657535
"PHEC-342F20",2021.5753424657535
"NORT-YYF1SZ",2021.7095890410958
"NORT-YYF1U7",2021.7150684931507
"NORT-YYF34E",2021.7205479452055
"NORT-YYFA7D",2021.7205479452055
"NORT-YYFA8O",2021.7232876712328
"NORT-YYFAJC",2021.7232876712328
"NORT-YYFH79",2021.7205479452055
"NORT-YYFHEK",2021.7260273972602
"NORT-YYFIP8",2021.7150684931507
"NORT-YYFZB7",2021.717808219178
"NORT-YYFZTH",2021.7068493150684
"NORT-YYG8E7",2021.7232876712328
"NORT-YYG8NJ",2021.731506849315
"NORT-YYG8QT",2021.7287671232878
"NORT-YYGD91",2021.731506849315
"NORT-YYGDJ9",2021.7260273972602
"NORT-YYGDYT",2021.7260273972602
"NORT-YYGJZH",2021.7232876712328
"NORT-YYGM9K",2021.717808219178
