"COG-ID","date"
"NORT-YYHIOT",2021.9095890410958
"NORT-YYHWQZ",2021.9095890410958
"NORT-YY63JA",2021.9232876712329
"NORT-YY65QC",2021.9205479452055
"NORT-YY9CP5",2021.9315068493152
"NORT-YY9EP9",2021.9260273972602
"NORT-YY9G7Y",2021.9315068493152
"NORT-YY9GNZ",2021.9287671232876
"NORT-YY9IQO",2021.9342465753425
"NORT-YY9OZN",2021.9315068493152
"NORT-YY9SH1",2021.9315068493152
"NORT-YY9ZKS",2021.9342465753425
"NORT-YBB1YM",2021.9397260273972
"NORT-YBB37J",2021.9342465753425
"NORT-YBB3QE",2021.9342465753425
"NORT-YBB4JT",2021.9369863013699
"NORT-YBB781",2021.9397260273972
"NORT-YBB7EO",2021.9397260273972
"NORT-YBBAF5",2021.9424657534246
"NORT-YBBAU6",2021.9342465753425
"NORT-YBBHET",2021.9369863013699
"NORT-YBBIW9",2021.9369863013699
"NORT-YBBS3W",2021.9397260273972
"NORT-YBBS41",2021.9397260273972
"NORT-YBBSQM",2021.9397260273972
"NORT-YBBU1F",2021.9397260273972
"NORT-YBBZNN",2021.9397260273972
"NORT-YBD63E",2021.9506849315069
"NORT-YBD69H",2021.9534246575342
"NORT-YBRBQ4",2021.9506849315069
"NORT-YBRCA4",2021.9479452054795
"NORT-YBRN6A",2021.9506849315069
"NORT-YBRNGJ",2021.9506849315069
"NORT-YBRNT1",2021.9534246575342
"NORT-YBRQKI",2021.9561643835616
"NORT-YBRRJB",2021.9534246575342
"NORT-YBEB7U",2021.9698630136986
"NORT-YBEYA6",2021.9753424657533
"NORT-YBF3KE",2021.964383561644
"NORT-YBF3T3",2021.9671232876713
"NORT-YBF5IX",2021.9671232876713
"NORT-YBFAQB",2021.9671232876713
"NORT-YBFB3B",2021.9561643835616
"NORT-YBFCUN",2021.958904109589
"NORT-YBFCZ4",2021.9616438356165
"NORT-YBFDC4",2021.958904109589
"NORT-YBFF45",2021.9561643835616
"NORT-YBFK3A",2021.958904109589
"NORT-YBFMHT",2021.9561643835616
"NORT-YBFNUC",2021.958904109589
"NORT-YBFQND",2021.9561643835616
"NORT-YBFWD5",2021.964383561644
"NORT-YBG1XD",2021.9671232876713
"NORT-YBG9P4",2021.9671232876713
"NORT-YBG9XS",2021.9698630136986
"NORT-YBGATA",2021.9698630136986
"NORT-YBGDQW",2021.9671232876713
"NORT-YBGE87",2021.9671232876713
"NORT-YBGJ9M",2021.9698630136986
"NORT-YBGOIA",2021.9698630136986
"NORT-YBGPFH",2021.9671232876713
"NORT-YBGTN6",2021.972602739726
"NORT-YBGW4K",2021.9671232876713
"NORT-YBGY6S",2021.9698630136986
"NORT-YBR1AW",2021.958904109589
"NORT-YBR1TN",2021.958904109589
"NORT-YBR6BZ",2021.9534246575342
"NORT-YBR6X5",2021.958904109589
"NORT-YBR7HB",2021.958904109589
"NORT-YBRIR4",2021.9561643835616
"NORT-YBRST6",2021.958904109589
"NORT-YBRZT7",2021.958904109589
"NORT-YBEMJ1",2021.9753424657533
"NORT-YBES6H",2021.972602739726
"NORT-YBESJ8",2021.9753424657533
"NORT-YBESQ7",2021.972602739726
"NORT-YBESX5",2021.9671232876713
"NORT-YBEU97",2021.9698630136986
"NORT-YBEWX7",2021.9753424657533
"NORT-YBJ166",2021.972602739726
"NORT-YBJ1CD",2021.9890410958903
"NORT-YBJ3AD",2021.986301369863
"NORT-YBJ4RM",2021.986301369863
"NORT-YBJAT1",2021.9753424657533
"NORT-YBJEWH",2021.986301369863
"NORT-YBJH8D",2021.9890410958903
"NORT-YBJID1",2021.9890410958903
"NORT-YBJJMQ",2021.986301369863
"NORT-YBJJPK",2021.986301369863
"NORT-YBJO4E",2021.9890410958903
"NORT-YBJORI",2021.9890410958903
"NORT-YBJQB7",2021.986301369863
"NORT-YBJQQD",2021.986301369863
"NORT-YBJSJF",2021.9917808219177
"NORT-YBJUDW",2021.9890410958903
"NORT-YBJW8M",2021.9890410958903
"NORT-YBJXJC",2021.986301369863
"NORT-YBJZPH",2021.972602739726
"NORT-YBK6K3",2021.9917808219177
"NORT-YBKBYK",2021.986301369863
"NORT-YBKN1R",2021.986301369863
"NORT-YBKWC9",2021.9890410958903
"NORT-YBKWH6",2021.9753424657533
"NORT-YBKYWN",2021.986301369863
"NORT-YBKZZF",2021.9917808219177
"NORT-YBM8KQ",2021.9890410958903
"NORT-YBMEKP",2021.9890410958903
"NORT-YBMGN9",2021.9917808219177
"NORT-YBMRR7",2021.9890410958903
"NORT-YB11EA",2022.0082191780823
"NORT-YB18C5",2022.0054794520547
"NORT-YB1AHJ",2022.013698630137
"NORT-YB1O4I",2022.0109589041097
"NORT-YB1P6O",2022.0109589041097
"NORT-YB1S3T",2022.0109589041097
"NORT-YB1TKI",2022.0109589041097
"NORT-YB1X87",2022.0082191780823
"NORT-YB1ZN9",2022.013698630137
"NORT-YBT4T9",2022.0082191780823
"NORT-YBT5HE",2022.0082191780823
"NORT-YBT5KP",2022.0082191780823
"NORT-YBTWUB",2022.0054794520547
"NORT-YBX4AS",2021.9972602739726
"NORT-YBX51B",2021.9945205479453
"NORT-YBX64Q",2021.9972602739726
"NORT-YBX7D6",2021.9945205479453
"NORT-YBXHYF",2021.9945205479453
"NORT-YBA1SX",2022.041095890411
"NORT-YBA1WU",2022.041095890411
"NORT-YBABHW",2022.035616438356
"NORT-YBACIZ",2022.0383561643835
"NORT-YBACPE",2022.0383561643835
"NORT-YBAD3A",2022.035616438356
"NORT-YBAE5X",2022.035616438356
"NORT-YBAFF9",2022.0383561643835
"NORT-YBAJF5",2022.035616438356
"NORT-YBAN4Z",2022.035616438356
"NORT-YBAPOY",2022.035616438356
"NORT-YBAQXN",2022.035616438356
"NORT-YBAXKM",2022.035616438356
"NORT-YBAZ8J",2022.041095890411
"NORT-YBAZFP",2022.041095890411
"NORT-YBZ4TU",2022.0383561643835
"NORT-YBZ6NQ",2022.035616438356
"NORT-YBZ6SF",2022.0328767123287
"NORT-YBZ8MU",2022.0328767123287
"NORT-YBZA5B",2022.035616438356
"NORT-YBZGUD",2022.0328767123287
"NORT-YBZJ3W",2022.0301369863014
"NORT-YBZPCM",2022.035616438356
"NORT-YBZRIB",2022.0301369863014
"NORT-YBZT7R",2022.0301369863014
"NORW-31378F6",2022.0191780821917
"NORW-3137B9F",2022.013698630137
"NORW-3137C01",2022.027397260274
"NORW-3137CF2",2022.0109589041097
"NORW-313B0AF",2022.0246575342467
"NORW-313BEA1",2022.0246575342467
"NORW-313C0F3",2022.027397260274
"NORW-313D5B4",2022.0246575342467
"NORT-YB3C6D",2022.0438356164384
"NORT-YB3CB6",2022.0438356164384
"NORT-YB3CMK",2022.0438356164384
"NORT-YB3FMT",2022.0438356164384
"NORT-YB3FZA",2022.0465753424658
"NORT-YB3JF3",2022.041095890411
"NORT-YB3K8W",2022.0465753424658
"NORT-YB3Y18",2022.041095890411
"NORT-YBA97W",2022.0438356164384
"NORT-YB73S6",2022.0630136986301
"NORT-YB78PD",2022.0602739726028
"NORT-YB79TN",2022.0630136986301
"NORT-YB79WH",2022.0630136986301
"NORT-YB7AYC",2022.0630136986301
"NORT-YB7BSS",2022.0630136986301
"NORT-YB7GME",2022.0630136986301
"NORT-YB7GY6",2022.0602739726028
"NORT-YB7H84",2022.0630136986301
"NORT-YB7HO8",2022.0602739726028
"NORT-YB7HRY",2022.0602739726028
"NORT-YB7JHN",2022.0602739726028
"NORT-YB7K79",2022.0602739726028
"NORT-YB7KTZ",2022.0575342465754
"NORT-YB7NKQ",2022.0602739726028
"NORT-YB7NR4",2022.0630136986301
"NORT-YB7NXR",2022.0630136986301
"NORT-YB7NZU",2022.0602739726028
"NORT-YB7PH6",2022.0630136986301
"NORT-YB7PRX",2022.0630136986301
"NORT-YB7Q4B",2022.0630136986301
"NORT-YB7TFJ",2022.0630136986301
"NORT-YB7WUJ",2022.0657534246575
"NORT-YBH3BM",2022.054794520548
"NORT-YBH418",2022.0520547945205
"NORT-YBH4J4",2022.0575342465754
"NORT-YBH5IY",2022.054794520548
"NORT-YBH6PQ",2022.0575342465754
"NORT-YBHH5U",2022.054794520548
"NORT-YBHKF1",2022.0438356164384
"NORT-YBHKNA",2022.0493150684931
"NORT-YBHMAK",2022.0465753424658
"NORT-YBHOGK",2022.0575342465754
"NORT-YB634W",2022.0684931506848
"NORT-YB657C",2022.0684931506848
"NORT-YB65BF",2022.0712328767124
"NORT-YB65IH",2022.0712328767124
"NORT-YB66TB",2022.0712328767124
"NORT-YB676E",2022.0684931506848
"NORT-YB6M4N",2022.0684931506848
"NORT-YB6O9U",2022.0657534246575
"NORT-YB6OC4",2022.0657534246575
"NORT-YB6QJN",2022.0684931506848
"NORT-YB6QUP",2022.0657534246575
"NORT-YB95QJ",2022.0712328767124
"NORT-YB981W",2022.0684931506848
"NORT-YB9B7R",2022.0684931506848
"NORT-YB9DQB",2022.0684931506848
"NORT-YB9GFO",2022.0684931506848
"NORT-YB9HNY",2022.0739726027398
"NORT-YB9KSJ",2022.0712328767124
"NORT-YB9KTU",2022.0684931506848
"NORT-YB9M3N",2022.0712328767124
"NORT-YB9PXI",2022.0712328767124
"NORT-YB9T61",2022.0712328767124
"NORT-YB9WS9",2022.0739726027398
"NORT-YB6NO9",2022.054794520548
"NORT-YB6REQ",2022.0630136986301
"NORT-YNYF3G",2022.0739726027398
"NORT-YNYGH9",2022.0739726027398
"NORT-YNYN7B",2022.0739726027398
"NORT-YBSU7R",2022.027397260274
"NORT-YNB3361",2022.0986301369862
"NORT-YNB33FF",2022.0986301369862
"NORT-YNB34Q1",2022.1013698630136
"NORT-YNB3JY9",2022.0958904109589
"NORT-YNB3QIX",2022.0931506849315
"NORT-YNB3QXH",2022.0931506849315
"NORT-YNB3RCC",2022.0958904109589
"NORT-YNB3XOA",2022.0986301369862
"NORT-YNB3Z6W",2022.0986301369862
"NORT-YNB4BBD",2022.1041095890412
"NORT-YNB4BEI",2022.1013698630136
"NORT-YNB4BQJ",2022.1013698630136
"NORT-YNB4DW4",2022.0986301369862
"NORT-YNB4GYY",2022.1041095890412
"NORT-YNB4NAU",2022.1013698630136
"NORT-YNB4YPC",2022.0986301369862
"NORT-YNBA5GD",2022.0931506849315
"NORT-YNBAAMH",2022.0931506849315
"NORT-YNBAZTO",2022.0931506849315
"NORT-YNBS6QW",2022.0821917808219
"NORT-YNBZBS6",2022.0821917808219
"NORT-YB45GD",2022.0465753424658
"NORT-YB46CW",2022.0465753424658
"NORT-YB46FN",2022.0438356164384
"NORT-YB4TEJ",2022.0438356164384
"NORT-YB4WMY",2022.0465753424658
"NORT-YB51SJ",2022.0493150684931
"NORT-YB546T",2022.0520547945205
"NORT-YB54HI",2022.054794520548
"NORT-YB55BM",2022.0493150684931
"NORT-YB59XM",2022.0520547945205
"NORT-YB5AW8",2022.0493150684931
"NORT-YB5B6K",2022.0465753424658
"NORT-YB5D9G",2022.0465753424658
"NORT-YB5DBD",2022.0465753424658
"NORT-YB5GSI",2022.0465753424658
"NORT-YB5JO6",2022.0465753424658
"NORT-YB5MEP",2022.0465753424658
"NORT-YB5OJG",2022.0493150684931
"NORT-YB5PO4",2022.0493150684931
"NORT-YBHNKO",2022.0520547945205
"NORT-YNBC9T",2022.0739726027398
"NORT-YNBCDK",2022.0767123287671
"NORT-YNBI7UC",2022.0739726027398
"NORT-YNBIHWM",2022.0794520547945
"NORT-YNBQNK",2022.0794520547945
"NORT-YNBS1NA",2022.0849315068492
"NORT-YNBS3Q3",2022.0849315068492
"NORT-YNBS3RP",2022.0821917808219
"NORT-YNBS4H5",2022.0821917808219
"NORT-YNBS76W",2022.0821917808219
"NORT-YNBSA9Z",2022.0821917808219
"NORT-YNBSAC6",2022.0849315068492
"NORT-YNBSAH7",2022.0821917808219
"NORT-YNBSDXP",2022.0821917808219
"NORT-YNBSEQK",2022.0794520547945
"NORT-YNBSFHO",2022.0794520547945
"NORT-YNBSIU1",2022.0821917808219
"NORT-YNBSMBB",2022.0821917808219
"NORT-YNBSQ15",2022.0849315068492
"NORT-YNBSUGX",2022.0849315068492
"NORT-YNBSZE8",2022.0821917808219
"NORT-YNBWGH",2022.0767123287671
"NORT-YNBA18K",2022.0904109589042
"NORT-YNBA1BS",2022.0904109589042
"NORT-YNBA84Q",2022.0904109589042
"NORT-YNBAEU5",2022.0904109589042
"NORT-YNBAF9G",2022.0904109589042
"NORT-YNBAFF5",2022.0876712328768
"NORT-YNBAGMQ",2022.0876712328768
"NORT-YNBANRY",2022.0876712328768
"NORT-YNBAP1A",2022.0931506849315
"NORT-YNBATNI",2022.0931506849315
"NORT-YNBZ3UC",2022.0904109589042
"NORT-YNBZ3WK",2022.0876712328768
"NORT-YNBZ9E7",2022.0876712328768
"NORT-YNBZDMU",2022.0876712328768
"NORT-YNBZDSH",2022.0849315068492
"NORT-YNBZDZ4",2022.0849315068492
"NORT-YNBZF3W",2022.0876712328768
"NORT-YNBZFQM",2022.0849315068492
"NORT-YNBZG5X",2022.0849315068492
"NORT-YNBZJHK",2022.0849315068492
"NORT-YNBZOX6",2022.0849315068492
"NORT-YNBZTK8",2022.0876712328768
"NORT-YNBZXAC",2022.0849315068492
"NORT-YNB4IUK",2022.1041095890412
"NORT-YNB4K3J",2022.1013698630136
"NORT-YNB4PGP",2022.1013698630136
"NORT-YNB4PQ7",2022.1013698630136
"NORT-YNB4SEY",2022.1041095890412
"NORT-YNB4SOX",2022.1013698630136
"NORT-YNB4ZE9",2022.1013698630136
"NORT-YNB4ZXT",2022.1013698630136
"NORT-YNB7C6Z",2022.109589041096
"NORT-YNB7GMR",2022.109589041096
"NORT-YNB7J9A",2022.109589041096
"NORT-YNB7NG1",2022.1041095890412
"NORT-YNB7PSG",2022.1068493150685
"NORT-YNB7XEB",2022.1041095890412
"NORT-YNBH56K",2022.1068493150685
"NORT-YNBH77K",2022.1068493150685
"NORT-YNBH9ZW",2022.109589041096
"NORT-YNBHHJW",2022.1068493150685
"NORT-YNBHIZ6",2022.1041095890412
"NORT-YNBHPYI",2022.1041095890412
"NORT-YNBHQCH",2022.1068493150685
"NORT-YNBHQNO",2022.1041095890412
"NORT-YNBHZZH",2022.1068493150685
"NORT-YNB61IB",2022.1150684931506
"NORT-YNB66MK",2022.1205479452055
"NORT-YNB66U3",2022.1205479452055
"NORT-YNB69B7",2022.1178082191782
"NORT-YNB6A3U",2022.1205479452055
"NORT-YNB6AG4",2022.1205479452055
"NORT-YNB6BCF",2022.1150684931506
"NORT-YNB6BUS",2022.1150684931506
"NORT-YNB6CWJ",2022.1150684931506
"NORT-YNB6JYI",2022.1123287671232
"NORT-YNB6NGO",2022.1150684931506
"NORT-YNB6OGN",2022.1178082191782
"NORT-YNB6OQ1",2022.1178082191782
"NORT-YNB6PRJ",2022.1123287671232
"NORT-YNB6PXU",2022.1150684931506
"NORT-YNB6QW8",2022.1150684931506
"NORT-YNB6R1I",2022.1123287671232
"NORT-YNB6S1D",2022.1178082191782
"NORT-YNB6X61",2022.1150684931506
"NORT-YNB6XIR",2022.1178082191782
"NORT-YNB6Y6B",2022.1150684931506
"NORT-YNB6Y99",2022.109589041096
"NORT-YNB6YN4",2022.1123287671232
"NORT-YNB6Z9E",2022.1178082191782
"NORT-YNB74R6",2022.109589041096
"NORT-YNB75R7",2022.1068493150685
"NORT-YNB7AAZ",2022.109589041096
"NORT-YNB7OHZ",2022.1123287671232
